2026-02-16 14:27:08,278 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:08,307 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:08,339 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:08,374 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:08,412 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:08,443 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:08,465 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:08,500 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:08,518 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:08,553 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:08,588 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:08,620 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:08,651 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:08,686 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:08,717 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:08,748 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:08,767 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:08,796 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:08,819 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:08,854 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:08,885 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:08,916 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:08,947 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:08,982 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:09,013 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:09,044 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:09,073 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:09,105 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:09,132 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:09,163 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:09,181 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:09,212 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:09,243 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:09,278 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:09,309 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:09,340 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:09,371 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:09,397 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:09,424 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:09,455 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:09,482 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:09,521 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:09,555 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:09,590 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:09,629 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:09,653 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:09,653 | INFO | psk_bot.services.vector_store | Using FAISS HNSW index with inner product similarity
2026-02-16 14:27:09,656 | INFO | psk_bot.services.vector_store | Vector index stored at /Users/piyushchopra/projects/PSK Bot/vector_store/adding_a_check_point_provider_7613ba2d/faiss_index.faiss
2026-02-16 14:27:09,656 | INFO | psk_bot.services.vector_store | Persisted 75 document chunks
2026-02-16 14:27:09,656 | INFO | psk_bot.services.vector_store | Persisted vector store metadata at /Users/piyushchopra/projects/PSK Bot/vector_store/adding_a_check_point_provider_7613ba2d/faiss_index.meta.json
2026-02-16 14:27:09,656 | INFO | psk_bot.services.vector_store | Added 75 documents to vector store (doc_id=adding_a_check_point_provider_7613ba2d)
2026-02-16 14:27:09,657 | INFO | psk_bot.services.document_manager | Updated document adding_a_check_point_provider_7613ba2d status to ready
2026-02-16 14:27:09,707 | INFO | psk_bot.ingestion.parsers | Parsed HTML: adding-a-csm-managed-cisco.htm (120905 chars visible text, 0 chars raw source)
2026-02-16 14:27:09,708 | INFO | psk_bot.ingestion.pdf | Split text into 161 chunks (0 dropped as too short)
2026-02-16 14:27:09,709 | INFO | psk_bot.services.document_manager | Created document: adding_a_csm_managed_cisco_bb936c3f (adding-a-csm-managed-cisco.htm)
2026-02-16 14:27:09,709 | INFO | psk_bot.services.vector_store | Preloading embedding model: nomic-embed-text
2026-02-16 14:27:09,722 | INFO | psk_bot.services.ollama_embeddings | Initialized Ollama embeddings with model: nomic-embed-text
2026-02-16 14:27:09,722 | INFO | psk_bot.services.vector_store | Using Ollama embeddings (Mac-compatible)
2026-02-16 14:27:09,758 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:09,793 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:09,829 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:09,864 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:09,903 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:09,932 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
2026-02-16 14:27:09,970 | INFO | httpx | HTTP Request: POST http://localhost:11434/api/embeddings "HTTP/1.1 200 OK"
